referenceid	timestamp_started	timestamp_finished	db_id	trialid	source_register	title	web_address	trns	completion_month	is_german_covidevidence	is_german_in_germany	is_german_drks	is_german_euctr	is_searched_cutoff_2	is_searched_cutoff_3	abstract	soc	flag_review	comments
108	2022-05-25 11:54:08	2022-05-25 11:54:31	tri04220	ISRCTN16842454	ISRCTN	Effectiveness and safety of plasma convalescent therapy in patients with COVID-19	http://www.isrctn.com/ISRCTN16842454	ISRCTN16842454	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		historic controls
110	2022-05-25 11:54:35	2022-05-25 11:55:04	tri04396	IRCT20150825023753N17	IRCT	Evaluation of the effect of ghamz with needle on improvement of respiratory symptoms of COVID-19 patients admitted to hospital	http://en.irct.ir/trial/51709	IRCT20150825023753N17	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		ghamz with needle
171	2022-05-25 11:55:42	2022-05-25 11:57:47	tri00953	NCT04344756	ClinicalTrials.gov	Trial Evaluating Efficacy and Safety of Anticoagulation in Patients With COVID-19 Infection, Nested in the Corimmuno-19 Cohort	https://clinicaltrials.gov/show/NCT04344756	NCT04344756; EUCTR2020-001246-18	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Anticoagulants (Unspecified)		They list a number of anticoagulants people could get preventatively in the control arm so we've grouped them into the general anticoagulants category.
194	2022-05-25 11:57:56	2022-05-25 11:59:37	tri02335	NCT04354428	ClinicalTrials.gov	Treatment for COVID-19 in High-Risk Adult Outpatients	https://clinicaltrials.gov/show/NCT04354428	NCT04354428	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Combined the placebo arms into 1 placebo arm for our purposes.
203	2022-05-25 11:59:44	2022-05-25 12:00:17	tri01154	NCT04357782	ClinicalTrials.gov	Administration of Intravenous Vitamin C in Novel Coronavirus Infection (COVID-19) and Decreased Oxygenation	https://clinicaltrials.gov/show/NCT04357782	NCT04357782	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Both arms get vitamin C so collapsed into single unique arm.
212	2022-05-25 12:00:21	2022-05-25 12:01:56	tri01197	NCT04361435	ClinicalTrials.gov	Lung Recruitment Device for COVID-19	https://clinicaltrials.gov/show/NCT04361435	NCT04361435	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Interventions are the same in both arms, just the order of the 2 procedures is different. Making 2 different arms to reflect this as I think it's basically analogous to different dosing.
216	2022-05-25 12:02:02	2022-05-25 12:02:18	tri01330	NCT04366856	ClinicalTrials.gov	PROne Positioning in coVID-19 Oxygeno-dependent Patients in Spontaneous Ventilation (PROVID Study)	https://clinicaltrials.gov/show/NCT04366856	NCT04366856	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
226	2022-05-25 12:02:21	2022-05-25 12:03:13	tri01564	NCT04377997	ClinicalTrials.gov	Safety and Efficacy of Therapeutic Anticoagulation on Clinical Outcomes in Hospitalized Patients With COVID-19	https://clinicaltrials.gov/show/NCT04377997	NCT04377997	2021-01-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Anticoagulants (Unspecified)		The registration is unclear about what the &quot;standard of care&quot; anticoagulation group means so chose generic anticoagulation.
230	2022-05-25 12:03:23	2022-05-25 12:04:06	tri01846	NCT04381871	ClinicalTrials.gov	Potential Role of Gum Arabic as Immunomodulatory Agent Among COVID 19 Patients	https://clinicaltrials.gov/show/NCT04381871		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE				NULL
231	2022-05-25 12:06:19	2022-05-25 12:06:38	tri01848	NCT04382131	ClinicalTrials.gov	Hypertonic Saline Nasal Irrigation and Gargling in Suspected or Confirmed COVID-19 (ELVIS COVID-19)	https://clinicaltrials.gov/show/NCT04382131	NCT04382131	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
233	2022-05-25 12:06:42	2022-05-25 12:07:46	tri03071	NCT04382768	ClinicalTrials.gov	Inhaled Ibuprofen to Treat COVID-19	https://clinicaltrials.gov/show/NCT04382768		2021-01-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE				NULL
244	2022-05-25 12:07:51	2022-05-25 12:08:26	tri02056	NCT04390061	ClinicalTrials.gov	TOFAcitinib Plus Hydroxycloroquine vs Hydroxycloroquine in Patients With COVID-19 Interstitial Pneumonia	https://clinicaltrials.gov/show/NCT04390061	NCT04390061; EUCTR2020-002035-30	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Hydroxychloroquine		NULL
245	2022-05-25 12:08:30	2022-05-25 12:08:52	tri02060	NCT04390412	ClinicalTrials.gov	Low Dose Radiotherapy in COVID-19 Pneumonia	https://clinicaltrials.gov/show/NCT04390412	NCT04390412; IRCT20200509047366N1	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		All the patients will also receive the standard national protocol of COVID-19 management.
252	2022-05-25 12:08:57	2022-05-25 12:11:03	tri02268	NCT04393415	ClinicalTrials.gov	Using PRP and Cord Blood in Treatment of Covid -19	https://clinicaltrials.gov/show/NCT04393415		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Assuming here LGF is some shorthand for stem cells.
267	2022-05-25 12:11:27	2022-05-25 12:11:45	tri02532	NCT04410510	ClinicalTrials.gov	P2Et Extract in the Symptomatic Treatment of Subjects With COVID-19	https://clinicaltrials.gov/show/NCT04410510	NCT04410510	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Hydroxychloroquine;Lopinavir;Ritonavir		NULL
270	2022-05-25 12:11:50	2022-05-25 12:12:59	tri02997	NCT04420260	ClinicalTrials.gov	Primary Prevention of Infection by COVID-19 in Health Providers	https://clinicaltrials.gov/show/NCT04420260	NCT04420260	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Calling multiple categories as spray sounds like a drug and a food emulsion like a dietary supplement.
271	2022-05-25 12:13:02	2022-05-25 12:15:11	tri03008	NCT04421391	ClinicalTrials.gov	QuadraMune(TM) for Prevention of COVID-19	https://clinicaltrials.gov/show/NCT04421391	NCT04421391	2020-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	The natural ingredients of QuadraMune are Pterostilbene, Epigallocatechin gallate (EGCG), Sulforaphane, and Thymoquinone.
281	2022-05-25 12:15:36	2022-05-25 12:16:00	tri03488	NCT04432987	ClinicalTrials.gov	Dornase Alpha for the Treatment of COVID-19	https://clinicaltrials.gov/show/NCT04432987		2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Looks like they gave dornase alpha to 2 populations and then had controls for both. Control is unspecfied. Collapsing into 1 DA arm and 1 control arm.
284	2022-05-25 12:16:03	2022-05-25 12:16:23	tri03525	NCT04436471	ClinicalTrials.gov	An Open Study of the Safety, Tolerability and Immunogenicity of the Drug 'Gam-COVID-Vac' Vaccine Against COVID-19	https://clinicaltrials.gov/show/NCT04436471	NCT04436471	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Three arms each with a different version or combination of the vaccine.
287	2022-05-25 12:16:27	2022-05-25 12:16:48	tri03558	NCT04441424	ClinicalTrials.gov	Convalescent Plasma Therapy on Critically-ill Novel Coronavirus (COVID-19) Patients	https://clinicaltrials.gov/show/NCT04441424	NCT04441424	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Azithromycin;Hydroxychloroquine		NULL
294	2022-05-25 12:16:53	2022-05-25 12:17:09	tri05473	NCT04452773	ClinicalTrials.gov	Clinical Trial to Evaluate the Efficacy of Food Supplement ManremycÂ® Against SARS- COV-2 Infection (COVID-19) in Healthcare Workers	https://clinicaltrials.gov/show/NCT04452773	NCT04452773	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
314	2022-05-25 12:17:14	2022-05-25 12:19:10	tri05983	NCT04508439	ClinicalTrials.gov	Effect of the Use of Anticoagulant Therapy During Hospitalization and Discharge in Patients With COVID-19 Infection	https://clinicaltrials.gov/show/NCT04508439	NCT04508439	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Enoxaparin		Based on other similar trials, preventative antocoag becomes a defined SoC as a control while active or therapeutic is the experimental.
318	2022-05-25 12:19:17	2022-05-25 12:19:57	tri06088	NCT04521400	ClinicalTrials.gov	the Investigation Into Beneficial Effects of High-dose Interferon Beta 1-a, Compared to Low-dose Interferon Beta 1-a in Moderate to Severe Covid-19	https://clinicaltrials.gov/show/NCT04521400	NCT04521400	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Lopinavir;Ritonavir		NULL
320	2022-05-25 12:20:03	2022-05-25 12:20:38	tri06130	NCT04527133	ClinicalTrials.gov	An Open Non-comparative Study of the Efficacy and Safety of Aprotinin in Patients Hospitalized With COVID-19	https://clinicaltrials.gov/show/NCT04527133	NCT04527133	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE				Study in 2 phases, using 2nd phase for extraction.
329	2022-05-25 12:20:44	2022-05-25 12:21:06	tri06378	NCT04559035	ClinicalTrials.gov	Nasal Irrigation to Reduce COVID-19 Morbidity	https://clinicaltrials.gov/show/NCT04559035	NCT04559035	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
341	2022-05-25 12:21:11	2022-05-25 12:21:35	tri06851	NCT04632602	ClinicalTrials.gov	Awake Prone Position to Reduce Ventilation Inhomogeneity in COVID-19 Acute Respiratory Failure	https://clinicaltrials.gov/show/NCT04632602	NCT04632602	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		The control is just other ways of positioning.
348	2022-05-25 12:21:40	2022-05-25 12:22:00	tri01300	NCT04359797	ClinicalTrials.gov	COVID-19 Patient Positioning Pragmatic Trial	https://clinicaltrials.gov/show/NCT04359797	NCT04359797	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
356	2022-05-25 12:22:09	2022-05-25 12:22:26	tri07210	NCT04666116	ClinicalTrials.gov	Changes in Viral Load in COVID-19 After Probiotics	https://clinicaltrials.gov/show/NCT04666116	NCT04666116	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
360	2022-05-25 12:22:30	2022-05-25 12:27:07	tri03299	NCT04341688	ClinicalTrials.gov	A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients	https://clinicaltrials.gov/show/NCT04341688	NCT04341688	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
363	2022-05-25 12:27:17	2022-05-25 12:27:34	tri06718	NCT04610567	ClinicalTrials.gov	Treatment of Patients With Mild Coronavirus-19 (COVID-19) Disease With Methotrexate Associated to LDL Like Nanoparticles (Nano-COVID19)	https://clinicaltrials.gov/show/NCT04610567	NCT04610567	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Extracted for Phase 2 part of trial.
367	2022-05-25 12:27:39	2022-05-25 12:28:26	tri01766	CTRI/2020/05/024981	CTRI	Clinical study on Dabur Chyawanprash as a preventive remedy in pandemic of Covid-19.	http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43374	CTRI/2020/05/024981	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Milk considered placebo here.
369	2022-05-25 12:28:30	2022-05-25 12:28:54	tri04511	CTRI/2020/05/025215	CTRI	Effectiveness of Siddha medicine, Kabasura kudineer and vitamin c-zinc supplementation in the management of Mild COVID 19 patients.	http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43769	CTRI/2020/05/025215	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Vitamin C;Zinc		NULL
398	2022-05-25 12:29:03	2022-05-25 12:29:15	tri04958	CTRI/2020/08/027477	CTRI	Evaluation of safety and efficacy of T-AYU-HM Premium and Onion steam vaporization/nebulization in Covid-19 patients.	http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=46654	CTRI/2020/08/027477	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
406	2022-05-25 12:29:21	2022-05-25 12:33:51	tri02393	NCT04406389	ClinicalTrials.gov	Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial)	https://clinicaltrials.gov/show/NCT04406389	NCT04406389	2021-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Anticoagulants (Unspecified)		In each arm the participant could have received one of many anticoagulants so I've listed that as general anticoagulation.
408	2022-05-25 12:33:56	2022-05-25 12:34:19	tri02632	NCT04414124	ClinicalTrials.gov	A Clinical Study to Assess the Natural History of COVID-19 and Effects of KB109 and Supportive Self-care in Outpatients With Mild-to-moderate COVID-19	https://clinicaltrials.gov/show/NCT04414124	NCT04414124	2021-02-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		What they call self supportive care is not defined.
423	2022-05-25 12:34:25	2022-05-25 12:34:54	tri00952	NCT04344730	ClinicalTrials.gov	Dexamethasone and Oxygen Support Strategies in ICU Patients With Covid-19 Pneumonia	https://clinicaltrials.gov/show/NCT04344730	NCT04344730; EUCTR2020-001457-43	2021-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		NULL		The primary analysis is Dex vs. placebo so ignoring the ventilation arms for our purposes. See quote below:\n\nThe main objective is to assess the impact of dexamethasone on overall mortality at day-60 after randomization in patients admitted in ICU for severe COVID-19 infection.
440	2022-05-25 12:35:11	2022-05-25 12:35:29	tri06160	NCT04530409	ClinicalTrials.gov	Timing of Corticosteroids in COVID-19	https://clinicaltrials.gov/show/NCT04530409	NCT04530409	2021-04-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		While the control also gets a coritcosteroid, they get it late. The intervention being tested is early treatment so not getting the early treatment is like getting no treatment here.
461	2022-05-25 12:35:34	2022-05-25 12:36:11	tri03434	NCT04409262	ClinicalTrials.gov	A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia	https://clinicaltrials.gov/show/NCT04409262	NCT04409262; EUCTR2020-002275-34	2021-02-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Remdesivir		NULL
490	2022-05-25 12:36:18	2022-05-25 12:36:35	tri05645	NCT04470258	ClinicalTrials.gov	Elmo Respiratory Support Project - COVID-19	https://clinicaltrials.gov/show/NCT04470258	NCT04470258	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Looks like this is actually a single arm trial of this ELMO system.
497	2022-05-25 13:45:14	2022-07-29 05:40:50	tri05893	NCT04495933	ClinicalTrials.gov	A Study on the Safety, Tolerability and Immune Response of SARS-CoV-2 Sclamp (COVID-19) Vaccine in Healthy Adults	https://clinicaltrials.gov/show/NCT04495933	NCT04495933; ACTRN12620000674932; ISRCTN51232965	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Each arm is a different dose.
510	2022-05-25 13:45:47	2022-05-25 13:46:37	tri06236	NCT04537962	ClinicalTrials.gov	Salivary SARS-CoV-2 Load of Covid-19 Patients After Oral Antimicrobial Solutions and Dentifrices	https://clinicaltrials.gov/show/NCT04537962	NCT04537962	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		There were also a toothpaste part of this trial. Collapsed that into 1 arm.
512	2022-05-25 13:46:42	2022-07-25 13:01:29	tri07225	ISRCTN27106947	ISRCTN	A study to assess several different treatments that may be useful for patients with COVID-19	http://www.isrctn.com/ISRCTN27106947	ISRCTN27106947; EUCTR2020-001860-27; NCT04746183	2021-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Trial is made up of multiple sub-trials. Captured all interventions used as unique arms.
527	2022-05-25 13:47:26	2022-07-20 19:45:16	tri01286	NCT04345848	ClinicalTrials.gov	Preventing COVID-19 Complications With Low- and High-dose Anticoagulation	https://clinicaltrials.gov/show/NCT04345848	NCT04345848	2021-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Enoxaparin		Per other trials like this, prophylactic dose as SoC, high as experimental
537	2022-05-25 13:49:45	2022-05-25 13:50:10	tri02290	NCT04400890	ClinicalTrials.gov	Randomized Proof-of-Concept Trial to Evaluate the Safety and Explore the Effectiveness of Resveratrol, a Plant Polyphenol, for COVID-19	https://clinicaltrials.gov/show/NCT04400890	NCT04400890	2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Vitamin D3 (Cholecalciferol)		Vitamin D is listed as placebo, but was coded as standard of care as it was given to the experimental group as well. 
555	2022-05-25 13:50:15	2022-05-25 13:50:37	tri04057	ISRCTN34160010	ISRCTN	A low-intervention study of pre-exposure prophylaxis (PrEP) in healthy volunteers at high risk of coronavirus (SARS-CoV-2) infection.	http://www.isrctn.com/ISRCTN34160010	ISRCTN34160010	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Historic controls
559	2022-05-25 13:50:42	2022-05-25 13:51:00	tri04439	RPCEC00000330	RPCEC	DALIA Study	https://rpcec.sld.cu/en/trials/RPCEC00000330-En	RPCEC00000330	2020-09-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
565	2022-05-25 13:51:04	2022-05-25 13:51:39	tri02948	NCT04351581	ClinicalTrials.gov	Effects of Discontinuing Renin-angiotensin System Inhibitors in Patients With and Without COVID-19	https://clinicaltrials.gov/show/NCT04351581	NCT04351581; EUCTR2020-001544-26	2022-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		NULL		This is a study of continuation/discontinuation of ACE/ARBs. It's slightly more complex than this but I'm putting it in as an ACE/ARB arms and a no treatment control arm which is fine for our purposes.
576	2022-05-25 13:51:44	2022-05-25 13:52:14	tri03418	NCT04401579	ClinicalTrials.gov	Adaptive COVID-19 Treatment Trial 2 (ACTT-2)	https://clinicaltrials.gov/ct2/show/NCT04401579	NCT04401579; JPRN-jRCT2031200035; EUCTR2020-001052-18	0000-00-00	FALSE	FALSE	FALSE	FALSE	TRUE			Remdesivir		NULL
581	2022-05-25 13:52:17	2022-05-25 13:52:41	tri00502	ChiCTR2000030946	ChiCTR	Effects of different VTE prevention methods on the prognosis of hospitalized patients with novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=51265	ChiCTR2000030946	2020-04-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		mechanical preventive anticoagulation seems to mean things like compression. Calling this a procedure.
587	2022-05-25 13:52:44	2022-08-23 15:05:32	tri02344	NCT04368988	ClinicalTrials.gov	Evaluation of the Safety and Immunogenicity of a SARS-CoV-2 rS Nanoparticle Vaccine With/Without Matrix-M Adjuvant	https://clinicaltrials.gov/show/NCT04368988	NCT04368988; EUCTR2020-004123-16	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Phase 1/2, using Phase 2. 6 different dosing arms and a placebo arm.
605	2022-05-25 14:00:07	2022-05-25 14:00:44	tri06087	NCT04521322	ClinicalTrials.gov	Efficacy of a Nasal Spray Containing Iota-Carrageenan in the Prophylaxis of COVID-19 Disease in Health Personnel Dedicated to Patients Care With COVID-19 Disease	https://clinicaltrials.gov/show/NCT04521322	NCT04521322	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
610	2022-05-25 14:00:49	2022-07-20 19:48:39	tri06519	NCT04581291	ClinicalTrials.gov	The Effect of Aerobic Exercise on Immune Biomarkers and Symptoms Severity and Progression in Patients With COVID-19: A Pilot Randomized Control Trial	https://clinicaltrials.gov/show/NCT04581291	NCT04581291	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		Hydroxychloroquine		NULL
614	2022-05-25 14:01:11	2022-05-25 14:01:48	tri01492	NCT04341441	ClinicalTrials.gov	Will Hydroxychloroquine Impede or Prevent COVID-19	https://clinicaltrials.gov/show/NCT04341441	NCT04341441	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Other is a Non-Randomized Active Comparator arm of HCWs already on HCQ so not getting it as part of the study.
626	2022-05-25 14:01:53	2022-05-25 14:02:28	tri05845	NCT04490824	ClinicalTrials.gov	Inhalation of KELEA Excellerated Water in Covid-19 Infected Individuals	https://clinicaltrials.gov/show/NCT04490824		2021-03-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Not 100% sure what KELEA Excellerated Water is so I've listed it as &quot;Other&quot;. this is technically a cross-over trial (both arms get placebo and intervention in different order) in how it is described so I'm making it a treatment and a placebo arm.
672	2022-05-25 14:02:38	2022-05-25 14:03:57	tri00269	NCT04286503	ClinicalTrials.gov	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	https://clinicaltrials.gov/show/NCT04286503	NCT04286503	2021-02-01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		Chloroquine;Lopinavir;Ritonavir;Umifenovir (Arbidol)		NULL
674	2022-05-25 14:04:02	2022-05-25 14:04:32	tri03289	NCT04328285	ClinicalTrials.gov	Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers	https://clinicaltrials.gov/show/NCT04328285	NCT04328285; EUCTR2020-001188-96	2021-03-01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		NULL		both arms consist of two arms: Hydroxychloroquine vs. Placebo, Lopinavir/ritonavir vs. Placebo (two placeboarms were coded as one arm \nno comparison/no randomization between hydroxychloroquine and lopinavir/ritonavir arms
715	2022-05-25 14:05:38	2022-05-25 14:06:06	tri07193	NCT04664010	ClinicalTrials.gov	Efficacy and Safety of High-dose Vitamin C Combined With Chinese Medicine Against Coronavirus Pneumonia (COVID-19)	https://clinicaltrials.gov/show/NCT04664010	NCT04664010	2021-01-01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		Interferon Alpha;Ribavirin;Umifenovir (Arbidol)		There was also kind of a placebo element here because there was a glucose infusion without vitamin C in some arms (collapsed arms for severe/moderate covid) but this is tough to show in our schema.
758	2022-05-25 14:06:18	2022-05-25 14:06:46	tri07965	NCT04768179	ClinicalTrials.gov	Safety & Efficacy of Low Dose Aspirin / Ivermectin Combination Therapy for Treatment of Covid-19 Patients	https://clinicaltrials.gov/show/NCT04768179	NCT04768179	2021-06-01	FALSE	FALSE	FALSE	FALSE		TRUE		NULL		2 different dosing arms.
794	2022-05-25 14:06:53	2022-05-25 14:08:23	tri05726	NCT04476979	ClinicalTrials.gov	Comparison of Tocilizumab Plus Dexamethasone vs. Dexamethasone for Patients With Covid-19	https://clinicaltrials.gov/show/NCT04476979	NCT04476979; EUCTR2020-001246-18	2021-06-01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		Dexamethasone		NULL
796	2022-05-25 14:08:27	2022-05-25 14:09:50	tri08607	ISRCTN18304314	ISRCTN	Effect of convalescent plasma therapy on intensive care unit (ICU) deaths from COVID-19 in Suriname	http://www.isrctn.com/ISRCTN18304314	ISRCTN18304314	2021-01-01	FALSE	FALSE	FALSE	FALSE		TRUE		Dexamethasone		it was dexamethason vs. convalescent plasma, dexamethason is described as standard of care; both groups received supportive therapy such as additional respiratory and circulatory support.
